"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
49,2013-02-24,2013,"201302","20130224",6806.985,6807.08,6807.1625,6807.23,6807.29,6807.355,6807.4375,6807.53,6807.6375,6807.8025,6807.985,6808.145,6808.29,6808.4325,6808.555,6808.675,6808.81,6808.965,6809.1575,6809.375,6809.59,6809.82,6810.0425,6810.2125
49,2013-02-25,2013,"201302","20130225",6810.3625,6810.47,6810.55,6810.6175,6810.6775,6810.7425,6810.825,6810.93,6811.0775,6811.23,6811.34,6811.45,6811.5625,6811.6675,6811.76,6811.85,6811.955,6812.0575,6812.2,6812.375,6812.585,6812.785,6812.97,6813.1225
49,2013-02-26,2013,"201302","20130226",6813.2375,6813.32,6813.39,6813.455,6813.51,6813.575,6813.6475,6813.7475,6813.88,6814.015,6814.1225,6814.2275,6814.34,6814.43,6814.51,6814.59,6814.675,6814.785,6814.9225,6815.09,6815.285,6815.485,6815.675,6815.8375
49,2013-02-27,2013,"201302","20130227",6815.9725,6816.06,6816.1325,6816.195,6816.26,6816.32,6816.395,6816.505,6816.64,6816.78,6816.8925,6817.015,6817.1275,6817.235,6817.33,6817.41,6817.4925,6817.5975,6817.7525,6817.9525,6818.1875,6818.4,6818.6025,6818.775
49,2013-02-28,2013,"201302","20130228",6818.905,6818.9875,6819.055,6819.1125,6819.17,6819.2325,6819.3025,6819.395,6819.54,6819.69,6819.815,6819.925,6820.0325,6820.1375,6820.2275,6820.3225,6820.4125,6820.535,6820.68,6820.855,6821.0525,6821.245,6821.4375,6821.5875
49,2013-03-01,2013,"201303","20130301",6821.7025,6821.79,6821.855,6821.9175,6821.97,6822.03,6822.0975,6822.21,6822.34,6822.48,6822.59,6822.705,6822.8175,6822.9225,6823.0275,6823.12,6823.2175,6823.34,6823.4675,6823.64,6823.8475,6824.065,6824.2825,6824.4675
49,2013-03-02,2013,"201303","20130302",6824.615,6824.72,6824.7975,6824.8625,6824.925,6824.9925,6825.0625,6825.1375,6825.2475,6825.39,6825.5425,6825.665,6825.785,6825.905,6826.0225,6826.1325,6826.2525,6826.395,6826.54,6826.72,6826.935,6827.145,6827.35,6827.5375
49,2013-03-03,2013,"201303","20130303",6827.685,6827.78,6827.855,6827.92,6827.98,6828.035,6828.11,6828.1875,6828.3025,6828.4675,6828.625,6828.7725,6828.93,6829.065,6829.185,6829.295,6829.415,6829.5425,6829.6925,6829.885,6830.09,6830.3225,6830.5525,6830.73
49,2013-03-04,2013,"201303","20130304",6830.8625,6830.95,6831.0175,6831.08333333333,6831.14,6831.1925,6831.27,6831.36,6831.5,6831.645,6831.765,6831.88,6831.9825,6832.075,6832.1625,6832.2425,6832.345,6832.465,6832.6025,6832.775,6832.9825,6833.1775,6833.3625,6833.53
49,2013-03-05,2013,"201303","20130305",6833.66,6833.745,6833.8025,6833.86,6833.915,6833.9675,6834.04,6834.13,6834.2675,6834.3925,6834.49,6834.5975,6834.7,6834.7975,6834.88,6834.96,6835.0475,6835.1675,6835.295,6835.45,6835.66,6835.8875,6836.1075,6836.275
49,2013-03-06,2013,"201303","20130306",6836.4,6836.4825,6836.5475,6836.6025,6836.6525,6836.7075,6836.7775,6836.8825,6837.0275,6837.165,6837.27,6837.3875,6837.5075,6837.615,6837.705,6837.7925,6837.8975,6838.015,6838.1525,6838.33,6838.52,6838.705,6838.8875,6839.0475
